unix_time,response_time
,
1527705737,2
,
1527705738,2
,
1527705739,1
,
1527705740,2
,
1527705741,2
,
1527705742,2
,
1527705743,2
,
1527705744,2
,
1527705745,2
,
1527705746,2
,
1527705747,3
,
1527705748,2
,
1527705749,2
,
1527705750,2
,
1527705751,2
,
1527705752,2
,
1527705753,2
,
1527705754,2
,
1527705755,2
,
1527705756,1
,
1527705757,2
,
1527705758,2
,
1527705759,2
,
1527705760,2
,
1527705761,2
,
1527705762,1
,
1527705763,2
,
1527705764,2
,
1527705765,2
,
1527705766,2
,
1527705767,2
,
1527705768,2
,
1527705769,2
,
1527705770,1
,
1527705771,1
,
1527705772,2
,
1527705773,1
,
1527705774,1
,
1527705775,1
,
1527705776,1
,
1527705777,2
,
1527705778,1
,
1527705779,2
,
1527705780,2
,
1527705781,2
,
1527705782,2
,
1527705783,1
,
1527705784,2
,
1527705785,1
,
1527705786,1
,
1527705787,2
,
1527705788,2
,
1527705789,1
,
1527705790,1
,
1527705791,1
,
1527705792,2
,
1527705793,1
,
1527705794,2
,
1527705795,2
,
1527705796,2
,
1527705797,2
,
1527705798,2
,
1527705799,1
,
1527705800,2
,
1527705801,2
,
1527705802,2
,
1527705803,2
,
1527705804,1
,
1527705805,2
,
1527705806,2
,
1527705807,1
,
1527705808,2
,
1527705809,2
,
1527705810,1
,
1527705811,2
,
1527705812,2
,
1527705813,2
,
1527705814,1
,
1527705815,2
,
1527705816,1
,
1527705817,2
,
1527705818,2
,
1527705819,1
,
1527705820,2
,
1527705821,2
,
1527705822,2
,
1527705823,2
,
1527705824,2
,
1527705825,2
,
1527705826,2
,
1527705827,1
,
1527705828,1
,
1527705829,2
,
1527705830,2
,
1527705831,1
,
1527705832,1
,
1527705833,2
,
1527705834,2
,
1527705835,2
,
1527705836,2
,
1527705837,1
,
1527705838,2
,
1527705839,2
,
1527705840,1
,
1527705841,2
,
1527705842,1
,
1527705843,2
,
1527705844,2
,
1527705845,2
,
1527705846,2
,
1527705847,2
,
1527705848,2
,
1527705849,1
,
1527705850,1
,
1527705851,1
,
1527705852,2
,
1527705853,2
,
1527705854,2
,
1527705855,2
,
1527705856,2
,
1527705857,2
,
1527705858,1
,
1527705859,2
,
1527705860,1
,
1527705861,1
,
1527705862,2
,
1527705863,1
,
1527705864,2
,
1527705865,2
,
1527705866,2
,
1527705867,2
,
1527705868,2
,
1527705869,2
,
1527705870,2
,
1527705871,2
,
1527705872,2
,
1527705873,2
,
1527705874,2
,
1527705875,2
,
1527705876,2
,
1527705877,2
,
1527705878,1
,
1527705879,2
,
1527705880,2
,
1527705881,1
,
1527705882,1
,
1527705883,2
,
1527705884,2
,
1527705885,2
,
1527705886,2
,
1527705887,2
,
1527705888,2
,
1527705889,2
,
1527705890,1
,
1527705891,2
,
1527705892,2
,
1527705893,2
,
1527705894,2
,
1527705895,1
,
1527705896,1
,
1527705897,1
,
1527705898,2
,
1527705899,2
,
1527705900,1
,
1527705901,1
,
1527705902,1
,
1527705903,2
,
1527705904,1
,
1527705905,1
,
1527705906,1
,
1527705907,2
,
1527705908,1
,
1527705909,2
,
1527705910,1
,
1527705911,1
,
1527705912,2
,
1527705913,2
,
1527705914,1
,
1527705915,2
,
1527705916,2
,
1527705917,2
,
1527705918,1
,
1527705920,2
,
1527705921,2
,
1527705922,1
,
1527705923,2
,
1527705924,2
,
1527705925,1
,
1527705926,2
,
1527705927,2
,
1527705928,2
,
1527705929,1
,
1527705930,1
,
1527705931,1
,
1527705932,2
,
1527705933,1
,
1527705934,2
,
1527705935,1
,
1527705936,2
,
1527705937,1
,
1527705938,2
,
1527705939,1
,
1527705940,1
,
1527705941,1
,
1527705942,2
,
1527705943,2
,
1527705944,2
,
1527705945,1
,
1527705946,1
,
1527705947,1
,
1527705948,1
,
1527705949,2
,
1527705950,1
,
1527705951,1
,
1527705952,2
,
1527705953,1
,
1527705954,1
,
1527705955,2
,
1527705956,2
,
1527705957,1
,
1527705958,2
,
1527705959,2
,
1527705960,2
,
1527705961,2
,
1527705962,2
,
1527705963,2
,
1527705964,1
,
1527705965,2
,
1527705966,2
,
1527705967,2
,
1527705968,2
,
1527705969,2
,
1527705970,2
,
1527705971,2
,
1527705972,2
,
1527705973,2
,
1527705974,1
,
1527705975,1
,
1527705976,1
,
1527705977,1
,
1527705978,1
,
1527705979,2
,
1527705980,2
,
1527705981,2
,
1527705982,1
,
1527705983,1
,
1527705984,1
,
1527705985,2
,
1527705986,1
,
1527705987,2
,
1527705988,2
,
1527705989,2
,
1527705990,2
,
1527705991,1
,
1527705992,1
,
1527705993,1
,
1527705994,2
,
1527705995,1
,
1527705996,2
,
1527705997,2
,
1527705998,2
,
1527705999,2
,
1527706000,2
,
1527706001,2
,
1527706002,1
,
1527706003,3
,
1527706004,2
,
1527706005,1
,
1527706006,2
,
1527706007,2
,
1527706008,1
,
1527706009,2
,
1527706010,2
,
1527706011,2
,
1527706012,2
,
1527706013,1
,
1527706014,1
,
1527706015,2
,
1527706016,2
,
1527706017,2
,
1527706018,1
,
1527706019,2
,
1527706020,2
,
1527706021,2
,
1527706022,2
,
1527706023,1
,
1527706024,2
,
1527706025,2
,
1527706026,2
,
1527706027,1
,
1527706028,2
,
1527706029,2
,
1527706030,2
,
1527706031,2
,
1527706032,2
,
1527706033,2
,
1527706034,1
,
1527706035,1
,
1527706036,1
,
1527706037,2
,
1527706038,1
,
1527706039,1
,
1527706040,1
,
1527706041,1
,
1527706042,1
,
1527706043,1
,
1527706044,2
,
1527706045,2
,
1527706046,1
,
1527706047,2
,
1527706048,1
,
1527706049,2
,
1527706050,1
,
1527706051,2
,
1527706052,1
,
1527706053,1
,
1527706054,1
,
1527706055,2
,
1527706056,1
,
1527706057,1
,
1527706058,2
,
1527706059,1
,
1527706060,2
,
1527706061,1
,
1527706062,2
,
1527706063,2
,
1527706064,2
,
1527706065,2
,
1527706066,2
,
1527706067,1
,
1527706068,1
,
1527706069,1
,
1527706070,1
,
1527706071,2
,
1527706072,1
,
1527706073,2
,
1527706074,1
,
1527706075,2
,
1527706076,2
,
1527706077,2
,
1527706078,1
,
1527706079,1
,
1527706080,2
,
1527706081,2
,
1527706082,1
,
1527706083,1
,
1527706084,2
,
1527706085,1
,
1527706086,1
,
1527706087,1
,
1527706088,2
,
1527706089,1
,
1527706090,1
,
1527706091,2
,
1527706092,1
,
1527706093,1
,
1527706094,2
,
1527706095,1
,
1527706096,2
,
1527706097,2
,
1527706098,1
,
1527706099,2
,
1527706100,2
,
1527706101,1
,
1527706102,2
,
1527706103,2
,
1527706104,2
,
1527706105,2
,
1527706106,1
,
1527706107,2
,
1527706108,2
,
1527706109,2
,
1527706110,1
,
1527706111,2
,
1527706112,3
,
1527706113,1
,
1527706114,1
,
1527706115,2
,
1527706116,2
,
1527706117,1
,
1527706118,2
,
1527706119,2
,
1527706120,2
,
1527706121,1
,
1527706122,1
,
1527706123,2
,
1527706124,2
,
1527706125,1
,
1527706126,2
,
1527706127,1
,
1527706128,2
,
1527706129,1
,
1527706130,1
,
1527706131,2
,
1527706132,2
,
1527706133,2
,
1527706134,2
,
1527706135,2
,
1527706136,2
,
1527706137,2
,
1527706138,2
,
1527706139,2
,
1527706140,1
,
1527706141,2
,
1527706142,2
,
1527706143,1
,
1527706144,2
,
1527706145,2
,
1527706146,2
,
1527706147,2
,
1527706148,1
,
1527706149,1
,
1527706150,2
,
1527706151,2
,
1527706153,2
,
1527706154,1
,
1527706155,2
,
1527706156,2
,
1527706157,2
,
1527706158,1
,
1527706159,2
,
1527706160,2
,
1527706161,2
,
1527706162,1
,
1527706163,2
,
1527706164,2
,
1527706165,2
,
1527706166,1
,
1527706167,2
,
1527706168,2
,
1527706169,2
,
1527706170,2
,
1527706171,1
,
1527706172,2
,
1527706173,2
,
1527706174,2
,
1527706175,1
,
1527706176,2
,
1527706177,2
,
1527706178,1
,
1527706179,1
,
1527706180,1
,
1527706181,1
,
1527706182,2
,
1527706183,2
,
1527706184,1
,
1527706185,3
,
1527706186,1
,
1527706187,1
,
1527706188,1
,
1527706189,1
,
1527706190,2
,
1527706191,1
,
1527706192,2
,
1527706193,2
,
1527706194,2
,
1527706195,1
,
1527706196,2
,
1527706197,1
,
1527706198,2
,
1527706199,2
,
1527706200,2
,
1527706201,1
,
1527706202,2
,
1527706203,1
,
1527706204,1
,
1527706205,1
,
1527706206,2
,
1527706207,1
,
1527706208,1
,
1527706209,1
,
1527706210,1
,
1527706211,2
,
1527706212,2
,
1527706213,1
,
1527706214,1
,
1527706215,1
,
1527706216,2
,
1527706217,2
,
1527706218,2
,
1527706219,2
,
1527706220,1
,
1527706221,1
,
1527706222,1
,
1527706223,1
,
1527706224,2
,
1527706225,2
,
1527706226,1
,
1527706227,2
,
1527706228,2
,
1527706229,1
,
1527706230,2
,
1527706231,1
,
1527706232,2
,
1527706233,1
,
1527706234,2
,
1527706235,1
,
1527706236,2
,
1527706237,2
,
1527706238,2
,
1527706239,2
,
1527706240,1
,
1527706241,1
,
1527706242,2
,
1527706243,1
,
1527706244,2
,
1527706245,2
,
1527706246,1
,
1527706247,1
,
1527706248,1
,
1527706249,2
,
1527706250,1
,
1527706251,2
,
1527706252,2
,
1527706253,2
,
1527706254,1
,
1527706255,1
,
1527706256,1
,
1527706257,1
,
1527706258,1
,
1527706259,2
,
1527706260,2
,
1527706261,1
,
1527706262,2
,
1527706263,2
,
1527706264,2
,
1527706265,2
,
1527706266,1
,
1527706267,2
,
1527706268,1
,
1527706269,2
,
1527706270,2
,
1527706271,2
,
1527706272,2
,
1527706273,1
,
1527706274,1
,
1527706275,1
,
1527706276,2
,
1527706277,3
,
1527706278,2
,
1527706279,2
,
1527706280,1
,
1527706281,2
,
1527706282,2
,
1527706283,2
,
1527706284,2
,
1527706285,1
,
1527706286,2
,
1527706287,2
,
1527706288,1
,
1527706289,2
,
1527706290,2
,
1527706291,2
,
1527706292,2
,
1527706293,1
,
1527706294,2
,
1527706295,2
,
1527706296,1
,
1527706297,2
,
1527706298,1
,
1527706299,2
,
1527706300,1
,
1527706301,2
,
1527706302,2
,
1527706303,2
,
1527706304,2
,
1527706305,1
,
1527706306,2
,
1527706307,1
,
1527706308,1
,
1527706309,2
,
1527706310,2
,
1527706311,2
,
1527706312,1
,
1527706313,1
,
1527706314,2
,
1527706315,2
,
1527706316,2
,
1527706317,2
,
1527706318,2
,
1527706319,1
,
1527706320,2
,
1527706321,2
,
1527706322,1
,
1527706323,1
,
1527706324,2
,
1527706325,2
,
1527706326,1
,
1527706327,1
,
1527706328,1
,
1527706329,2
,
1527706330,1
,
1527706331,2
,
1527706332,2
,
1527706333,2
,
1527706334,2
,
1527706335,1
,
1527706336,1
,
1527706337,2
,
1527706338,1
,
1527706339,2
,
1527706340,2
,
1527706341,2
,
1527706342,2
,
1527706343,1
,
1527706344,1
,
1527706345,1
,
1527706346,1
,
1527706347,2
,
1527706348,2
,
1527706349,2
,
1527706350,1
,
1527706351,2
,
1527706352,1
,
1527706353,2
,
1527706354,1
,
1527706355,2
,
1527706356,2
,
1527706357,2
,
1527706358,2
,
1527706359,2
,
1527706360,1
,
1527706361,2
,
1527706362,1
,
1527706363,1
,
1527706364,2
,
1527706365,2
,
1527706366,2
,
1527706367,1
,
1527706368,2
,
1527706369,1
,
1527706370,1
,
1527706371,2
,
1527706372,2
,
1527706373,2
,
1527706374,1
,
1527706375,1
,
1527706376,2
,
1527706377,1
,
1527706378,2
,
1527706379,1
,
1527706380,2
,
1527706381,2
,
1527706382,2
,
1527706383,1
,
1527706384,1
,
1527706385,2
,
1527706386,1
,
1527706387,1
,
1527706388,1
,
1527706389,2
,
1527706390,2
,
1527706391,7
,
1527706392,15
,
1527706393,1
,
1527706394,2
,
1527706395,2
,
1527706396,1
,
1527706397,2
,
1527706398,12
,
1527706399,2
,
1527706400,1
,
1527706401,2
,
1527706402,2
,
1527706403,2
,
1527706404,2
,
1527706405,1
,
1527706406,1
,
1527706407,2
,
1527706408,1
,
1527706409,2
,
1527706410,2
,
1527706411,2
,
1527706412,2
,
1527706413,2
,
1527706414,1
,
1527706415,1
,
1527706416,2
,
1527706417,2
,
1527706418,2
,
1527706419,2
,
1527706420,2
,
1527706421,2
,
1527706422,2
,
1527706423,1
,
1527706424,2
,
1527706426,2
,
1527706427,2
,
1527706428,2
,
1527706429,2
,
1527706430,1
,
1527706431,2
,
1527706432,3
,
1527706433,1
,
1527706434,1
,
1527706435,2
,
1527706436,2
,
1527706437,1
,
1527706438,2
,
1527706439,2
,
1527706440,2
,
1527706441,2
,
1527706442,2
,
1527706443,2
,
1527706444,1
,
1527706445,2
,
1527706446,2
,
1527706447,2
,
1527706448,2
,
1527706449,1
,
1527706450,1
,
1527706451,2
,
1527706452,1
,
1527706453,2
,
1527706454,2
,
1527706455,2
,
1527706456,2
,
1527706457,2
,
1527706458,2
,
1527706459,2
,
1527706460,2
,
1527706461,2
,
1527706462,1
,
1527706463,1
,
1527706464,2
,
1527706465,2
,
1527706466,2
,
1527706467,2
,
1527706468,2
,
1527706469,2
,
1527706470,2
,
1527706471,2
,
1527706472,2
,
1527706473,2
,
1527706474,2
,
1527706475,2
,
1527706476,2
,
1527706477,2
,
1527706478,2
,
1527706479,2
,
1527706480,2
,
1527706481,2
,
1527706482,2
,
1527706483,2
,
1527706484,1
,
1527706485,2
,
1527706486,2
,
1527706487,2
,
1527706488,1
,
1527706489,2
,
1527706490,1
,
1527706491,2
,
1527706492,2
,
1527706493,2
,
1527706494,2
,
1527706495,2
,
1527706496,2
,
1527706497,2
,
1527706498,1
,
1527706499,1
,
1527706500,1
,
1527706501,2
,
1527706502,2
,
1527706503,2
,
1527706504,2
,
1527706505,1
,
1527706506,2
,
1527706507,2
,
1527706508,2
,
1527706509,2
,
1527706510,2
,
1527706511,2
,
1527706512,1
,
1527706513,2
,
1527706514,1
,
1527706515,2
,
1527706516,1
,
1527706517,2
,
1527706518,1
,
1527706519,2
,
1527706520,2
,
1527706521,1
,
1527706522,1
,
1527706523,2
,
1527706524,1
,
1527706525,1
,
1527706526,2
,
1527706527,2
,
1527706528,1
,
1527706529,2
,
1527706530,2
,
1527706531,2
,
1527706532,2
,
1527706533,1
,
1527706534,1
,
1527706535,1
,
1527706536,1
,
1527706537,2
,
1527706538,1
,
1527706539,2
,
1527706540,2
,
1527706541,1
,
1527706542,2
,
1527706543,2
,
1527706544,2
,
1527706545,2
,
1527706546,2
,
1527706547,1
,
1527706548,2
,
1527706549,1
,
1527706550,2
,
1527706551,2
,
1527706552,1
,
1527706553,2
,
1527706554,1
,
1527706555,2
,
1527706556,2
,
1527706557,2
,
1527706558,3
,
1527706559,2
,
1527706560,2
,
1527706561,2
,
1527706562,1
,
1527706563,2
,
1527706564,2
,
1527706565,2
,
1527706566,1
,
1527706567,2
,
1527706568,1
,
1527706569,2
,
1527706570,2
,
1527706571,2
,
1527706572,2
,
1527706573,1
,
1527706574,2
,
1527706575,2
,
1527706576,2
,
1527706577,2
,
1527706578,1
,
1527706579,2
,
1527706580,2
,
1527706581,1
,
1527706582,1
,
1527706583,1
,
1527706584,2
,
1527706585,1
,
1527706586,2
,
1527706587,2
,
1527706588,2
,
1527706589,1
,
1527706590,2
,
1527706591,2
,
1527706592,1
,
1527706593,1
,
1527706594,1
,
1527706595,1
,
1527706596,1
,
1527706597,3
,
1527706598,2
,
1527706599,1
,
1527706600,2
,
1527706601,2
,
1527706602,2
,
1527706603,2
,
1527706604,1
,
1527706605,2
,
1527706606,1
,
1527706607,2
,
1527706608,2
,
1527706609,2
,
1527706610,1
,
1527706611,2
,
1527706612,1
,
1527706613,1
,
1527706614,2
,
1527706615,1
,
1527706616,1
